FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HOTEL_GRAD_NO,TEL_NO,HMPG_URL,TRRSRT_ONE_NM,TRRSRT_TWO_NM,TRRSRT_THREE_NM,BASE_DE
머큐어서울앰배서더강남쏘도베,서울특별시 강남구 테헤란로25길 10,11,11680,127.0354237,37.50124126,서울,4,02-2050-6000,http://www.mercureseoul.com/kr/,롯데몰 김포공항,김포 국제공항,서울 월드컵경기장,2021-12-31
메이필드호텔,서울특별시 강서구 방화대로 94,11,11500,126.8184735,37.54779792,서울,5,02-2660-9000,https://www.mayfield.co.kr/2017/kor/html/index/index.asp,청계천,명동성당,남대문시장,2021-12-31
메트로호텔,서울특별시 중구 명동9가길 14 메트로호텔,11,11140,126.9859464,37.56300398,서울,3,02-752-1112,https://www.metrohotel.co.kr:11031/main.asp,동대문시장,대학로,창덕궁,2021-12-31
밸류호텔월드와이드부산,부산광역시 영도구 대교동1가 40,26,26200,129.0373247,35.09382162,부산,3,051-960-5500,http://www.valuehotelbusan.com/,서면먹자골목,부산항,비프광장,2021-12-31
베니키아 프리미어 동대문 호텔,서울특별시 종로구 난계로29길 56,11,11110,127.0201316,37.57382681,서울,4,02-2231-8800,http://www.benikeaddm.com/html/main.asp,디큐브시티,여의도 순복음교회,김포 국제공항,2021-12-31
베니키아 프리미어 베르누이 호텔,서울특별시 구로구 경인로 229,11,11530,126.8459722,37.49743505,서울,4,02-2683-9000,http://www.hotelbernoui.com/kr/,여의도 순복음교회,홍대거리,국립중앙박물관,2021-12-31
베니키아 프리미어 여의도 호텔,서울특별시 영등포구 영등포로 389,11,11560,126.9216068,37.51385233,서울,2,02-833-8887,http://www.yeouidopremier.com/html/main.asp,대학로,창덕궁,동대문시장,2021-12-31
베스트웨스턴 아리랑힐 동대문,서울특별시 성북구 아리랑로 8,11,11290,127.0166679,37.59361073,서울,4,02-925-7000,https://www.hotelahill.com/,가로수길,서울 코엑스 컨벤션 센터,롯데월드,2021-12-31
베스트웨스턴 인천 로얄 호텔,인천광역시 남동구 백범로 367,28,28200,126.7093567,37.46535899,인천,4,032-421-3300,http://www.royalhotel.co.kr/ko/,남부버스터미널역,예술의전당,가로수길,2021-12-31
베스트웨스턴 프리미어 강남 호텔,서울특별시 강남구 봉은사로 139 베스트웨스턴 강남호텔,11,11680,127.0297891,37.50638257,서울,4,02-6474-2000,https://www.bestwesterngangnam.com:20350/contents/main.asp,명동성당,청계천,동대문시장,2021-12-31
베스트웨스턴 프리미어 국도 호텔,서울특별시 중구 을지로 164,11,11140,126.9962989,37.56617992,서울,4,02-6466-1234,http://www.hotelkukdo.com/,홍익대학교,여의도 순복음교회,홍대거리,2021-12-31
베스트웨스턴 프리미어 서울 가든 호텔,서울특별시 마포구 마포대로 58 가든호텔,11,11440,126.9483605,37.54068285,서울,4,02-710-7111,http://www.seoulgarden.co.kr/,남대문,남대문시장,광화문광장,2021-12-31
벨라스위트호텔,경기도 수원시 팔달구 권광로180번길 18-15 호텔 벨라 스위트,41,41115,127.0337131,37.26262205,경기,3,031-231-2121,http://www.vellasuitehotel.co.kr/,수원월드컵경기장,수원시청,수원시 종합운동장,2021-12-31
브라운스위트 서울,서울특별시 중구 청파로 464,11,11140,126.9682261,37.56081881,서울,3,02-777-5621,http://www.brownsuites.com/,홍대거리,경복궁,광화문광장,2021-12-31
브라운스위트제주호텔앤리조트,제주특별자치도 서귀포시 성산읍 고성오조로 94,50,50130,126.9145249,33.45210482,제주,4,064-786-6200,http://brownsuitesjeju.com/,아쿠아플라넷 여수,엑스포기념관,자산공원,2021-12-31
브릭스관광호텔,서울특별시 은평구 은평로8길 1,11,11380,126.9211856,37.59989609,서울,,02-382-9995,http://www.brickshotel.com/,여의도,타임스퀘어,SBS사옥,2021-12-31
브릿지 호텔,서울특별시 영등포구 영등포로 9 마루관광호텔,11,11560,126.8825812,37.52373863,서울,3,02-2629-1300,http://hotelbridge.co.kr/,서울 코엑스 컨벤션 센터,가로수길,롯데월드,2021-12-31
블루밍 하우스,서울특별시 강남구 테헤란로28길 3-4,11,11680,127.0389892,37.50084276,서울,3,070-7204-2500,http://bloominghouse.co.kr/,가로수길,서울 코엑스 컨벤션 센터,명동성당,2021-12-31
사우스반데코호텔,부산광역시 진구 부전동 534-3,26,26230,129.058122,35.151201,부산,2,051-815-5252,http://www.southvandeco.com/,태화강역,울산문화예술회관,울산 종합운동장,2021-12-31
서울 렉스 호텔,서울특별시 중구 퇴계로10길 23 호텔렉스,11,11140,126.9809379,37.55866041,서울,3,02-752-3191,http://www.hotelrex.co.kr/kor/index.do,창덕궁,대학로,북촌한옥마을,2021-12-31
서울 로프트 아파트먼트,서울특별시 종로구 창경궁로 158,11,11110,126.9976106,37.57625021,서울,3,,,동대문시장,대학로,창덕궁,2021-12-31
서울 앤 호텔 동대문,서울특별시 종로구 종로66가길 21,11,11110,127.0208285,37.57332038,서울,3,02-6365-0008,https://www.seoulnhotel.kr/,명동성당,청계천,남대문시장,2021-12-31
서울로얄호텔,서울특별시 중구 명동길 61,11,11140,126.9856085,37.56429624,서울,4,02-771-4500,http://www.royal.co.kr/,명동성당,청계천,남대문시장,2021-12-31
세종 호텔,서울특별시 중구 퇴계로 145 세종호텔,11,11140,126.9876975,37.561412,서울,4,02-773-6000,https://www.sejong.co.kr/kor/main/main.php,명동성당,청계천,남대문시장,2021-12-31
송도 센트럴 파크 호텔,인천광역시 연수구 테크노파크로 193,28,28185,126.6374026,37.39051456,인천,5,032-310-5000,http://www.centralparkhotel.co.kr/,구로디지털단지,호림박물관,보라매공원구로G페스티벌,2021-12-31
스위트호텔제주,제주특별자치도 서귀포시 중문관광로72번길 67 스위트호텔,50,50130,126.4083476,33.24905001,제주,5,064-738-3800,http://www.suites.co.kr/Jeju/ko,제주월드컵경기장,천지연폭포,서귀포매일올레시장,2021-12-31
스카이파크 인천 송도,인천광역시 연수구 컨벤시아대로 233,28,28185,126.638737,37.38458651,인천,3,032-717-0700,http://skyparkincheonsongdo.com/,마니산,고양 종합운동장,킨텍스,2021-12-31
스타즈 호텔 명동 1호점,서울특별시 중구 충무로9길 20 일주빌딩,11,11140,126.9913216,37.56701485,서울,3,02-2020-4000,http://stazhotelmyeongdong1.com/AppMain.php,명동성당,청계천,남대문시장,2021-12-31
스타즈 호텔 명동 2호점,서울특별시 중구 수표로 16,11,11140,126.9906371,37.56256258,서울,3,02-2260-8000,http://stazhotelmyeongdong2.com/AppMain.php,서울월드컵경기장,양화대교,국회의사당,2021-12-31
스타즈 호텔 울산점,울산 남구 남중로 65,31,31140,129.3473935,35.54023109,울산,3,052-922-4000,http://www.stazhotelulsan.com/,서면먹자골목,부산항,비프광장,2021-12-31
스타즈제주로베로호텔,제주특별자치도 제주시 관덕로 26,50,50110,126.522019,33.512769,제주,3,064-757-7111,http://stazhoteljejurobero.com/,제주월드컵경기장,천지연폭포,서귀포매일올레시장,2021-12-31
스타즈호텔동탄,경기도 화성시 큰재봉길 31-11,41,41590,127.0788036,37.21820665,경기,3,031-613-3319,http://www.stazhoteldongtan.com/,융건릉,협성대학교박물관,칠보산,2021-12-31
스탠다드 호텔,서울특별시 강서구 공항대로 518 스탠다드호텔,11,11500,126.8635837,37.55103872,서울,3,02-2642-6200,http://www.standardhotel.co.kr/,서울코엑스컨벤션센터,가로수길,롯데월드,2021-12-31
스테이 호텔 강남,서울특별시 강남구 논현로87길 15-4 강남스테이 관광호텔,11,11680,127.0354597,37.49942173,서울,3,02-568-6200,,홍대거리,여의도 순복음교회,남대문,2021-12-31
스텔라 마리스 호텔,인천광역시 중구 반달로3번길 16,28,28110,126.6004455,37.47698703,인천,,032-761-1001,,월미테마파크,차이나타운,인천항 국제 여객터미널,2021-12-31
썬라이즈호텔섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 83,50,50130,126.9183039,33.4366529,제주,3,070-4566-9712,http://www.aroomi.co.kr/kor/index.do,한라산,정방폭포,서귀포매일올레시장,2021-12-31
썬라이즈호텔성산점,제주특별자치도 서귀포시 성산읍 성산등용로17번길 35 썬라이즈호텔 성산점,50,50130,126.9310275,33.46235117,제주,2,064-782-6650,http://www.aroomi.co.kr/kor/index.do,중문색달 해변,여미지식물원,천제연폭포제주 중문관광단지,2021-12-31
썬라이즈호텔중문점,제주특별자치도 서귀포시 중문관광로 310,50,50130,126.4305938,33.24767393,제주,,064-763-2299,http://www.aroomi.co.kr/kor/index.do,동문시장,제주성지,제주 탑동 해변공연장,2021-12-31
씨에스 프리미어 호텔 서울,서울특별시 관악구 남부순환로 1458,11,11620,126.9128477,37.48119584,서울,3,02-2660-7300,http://www.cshotelseoul.com/,청계천,창덕궁,광화문광장,2021-12-31
아너스 호텔,경기도 오산시 원동 769-1,41,41370,127.0716864,37.14554508,경기,3,031-8025-6801,http://www.honorshotel.co.kr/,융건릉,협성대학교박물관,칠보산,2021-12-31
아르반 호텔,부산광역시 진구 중앙대로691번길 32,26,26230,129.057318,35.154691,부산,3,051-805-9901,http://www.arbanhotel.com/html/main.asp,부산역,부산타워,비프광장,2021-12-31
아스티호텔부산,부산광역시 동구 중앙대로214번길 7-8,26,26170,129.0418332,35.11615674,부산,4,051-409-8888,https://astihotel.co.kr/,부산아크아리움,해운대해수욕장,해운대역,2021-12-31
아이엠티호텔,서울특별시 서초구 효령로53길 49,11,11650,127.0129554,37.48679544,서울,2,02-522-2838,http://imthotel.kr/,여의도 순복음교회,홍대거리,국립중앙박물관,2021-12-31
아크블루 호텔,부산광역시 해운대구 해운대해변로209번가길 25,26,26350,129.1565486,35.15957967,부산,2,051-746-3233,,비프광장,국제시장,자갈치시장,2021-12-31
아하바 호텔,서울특별시 영등포구 영중로8길 7,11,11560,126.9064403,37.51861734,서울,2,02-538-5177,,예술의전당,가로수길,서울 코엑스 컨벤션 센터,2021-12-31
안산 라성 호텔,경기도 안산시 단원구 화랑로 107,41,41273,126.8013283,37.32707551,경기,3,031-480-6161,,소래포구종합어시장,소래역사관,화랑유원지,2021-12-31
알렉스 72 호텔,경기도 수원시 팔달구 효원로235번길 35,41,41115,127.0279031,37.2646305,경기,3,,,수원시청,수원월드컵경기장,수원시종합운동장,2021-12-31
알리스위트 송도,인천광역시 연수구 능허대로 227-7,28,28185,126.6514767,37.41619686,인천,2,032-833-7117,http://www.rleesuite.com/,자유공원,문학야구장,인하대학교,2021-12-31
어반 호텔,경기도 안양시 동안구 흥안대로 497 어반부띠크 관광호텔,41,41173,126.9764318,37.39845413,경기,,031-421-0000,http://www.urbanhotel.co.kr/,인덕원역,안양종합운동장,안양유원지,2021-12-31
어반플레이스 강남,서울특별시 서초구 효령로77길 30,11,11650,127.029109,37.49171025,서울,3,02-3474-3399,http://www.urbanplaces.co.kr/,롯데몰 김포공항,김포 국제공항,김포대교,2021-12-31
에어포트 호텔,서울특별시 강서구 공항대로 63,11,11500,126.8142917,37.56157776,서울,2,032-743-1000,http://www.airporthotel.co.kr/kr/,청계천,명동성당,광화문광장,2021-12-31
에이퍼스트 호텔 명동,서울특별시 중구 다동길 30,11,11140,126.980923,37.56764227,서울,3,02-768-8777,http://www.afirsthotelgroup.com/ko/,동대문시장,명동성당,청계천,2021-12-31
엠에스 호텔,부산광역시 해운대구 해운대해변로 271,26,26350,129.1611261,35.15982469,부산,2,051-741-3838,http://mshotel.alltheway.kr/,자갈치시장,부산타워,용두산공원,2021-12-31
여수 베네치아 호텔,전라남도 여수시 오동도로 61-13,46,46130,127.7518523,34.74580272,전남,4,061-664-0001,http://www.yeosuvenezia.com/,동북아무역타워,송도컨벤시아,송도 인천타워,2021-12-31
영빈 호텔 사우나,서울특별시 중구 퇴계로56길 18 영빈호텔 대중사우나,11,11140,127.0055188,37.56299991,서울,2,02-2277-1141,http://www.youngbinhotel.co.kr/,,,,2021-12-31
오아시스 호텔,경상남도 거제시 장평4로2길 11-9 오아시스호텔,48,48310,128.6034968,34.88593306,경남,,02-867-9345,,천곡사,영일냉수리고분,포항 우각리 여주이씨 고택,2021-12-31
월곶 IMT 컬리넌 호텔,경기도 시흥시 월곶중앙로30번안길 28,41,41390,126.7402653,37.39046414,경기,2,031-318-0743,,송도컨벤시아,송도인천타워,월미테마파크,2021-12-31
월미도 프리미어스 호텔,인천광역시 중구 월미로260번길 12,28,28110,126.5977517,37.47399441,인천,2,032-777-7272,http://www.premiers.kr/,동북아무역타워,송도컨벤시아,송도 인천타워,2021-12-31
웨스턴 그레이스 호텔,인천광역시 중구 은하수로29번길 36,28,28110,126.58147,37.49027215,인천,4,032-890-0000,http://www.westerngracehotel.net/,동북아무역타워,송도컨벤시아,송도 인천타워,2021-12-31
윈스토리호텔,제주특별자치도 서귀포시 중정로 11,50,50130,126.5575562,33.24770083,제주,3,064-741-0000,http://www.hotelwinstory.com/,금호리조트제주아쿠아나,한라산,정방폭포,2021-12-31
이비스 버젯 앰배서더 동대문,서울특별시 중구 퇴계로 334,11,11140,127.0087236,37.56412429,서울,2,02-2079-8888,https://www.ambatel.com/ibisbudget/dongdaemun/ko/main.do,동대문시장,명동성당,청계천,2021-12-31
이비스 앰배서더 수원,경기도 수원시 팔달구 권광로 132,41,41115,127.0315241,37.25904497,경기,3,031-230-5000,https://www.ambatel.com/ibis/suwon/ko/main.do,수원시청,아주대학교,수원월드컵경기장,2021-12-31
이천 미란다 호텔,경기도 이천시 중리천로115번길 45 미란다호텔,41,41500,127.4504776,37.27628023,경기,3,031-639-5000,http://www.mirandahotel.com/renewal/index.asp,이천세계도자센터,지산CC,용인백암장,2021-12-31
인천스테이호텔,인천광역시 연수구 능허대로 181,28,28185,126.6495207,37.41928904,인천,3,032-820-0000,http://incheonstay.com/,월미문화의거리,월미도,월미테마파크,2021-12-31
인터시티 서울 호텔,서울특별시 강서구 마곡중앙6로 76-3,11,11500,126.8357949,37.55971774,서울,4,02-3664-8500,http://www.intercityseoul.kr/,롯데몰 김포공항,김포 국제공항,서울 월드컵경기장,2021-12-31
인피니 호텔,서울특별시 송파구 백제고분로 268 세경빌딩,11,11710,127.0960855,37.50219886,서울,1,02-425-1000,http://www.hotelinfini.co.kr/default/,롯데월드,잠실종합운동장,올림픽경기장,2021-12-31
중문비치 호텔,제주특별자치도 서귀포시 색달중앙로 19 중문비치호스텔,50,50130,126.4131379,33.25743821,제주,2,064-738-5947,http://www.aroomi.co.kr/kor/index.do,금호리조트제주아쿠아나,한라산,제주국제공항,2021-12-31
지앤비 호텔,부산광역시 중구 흑교로 19,26,26110,129.0248162,35.10124405,부산,3,051-243-5555,http://www.gnbhotel.com/,부산아쿠아리움,해운대해수욕장,해운대두산위브더제니스,2021-12-31
치선 호텔,서울특별시 중구 창경궁로 20,11,11140,126.9986635,37.56415744,서울,3,02-3782-9800,http://www.chisunhotelmd.com/,명동성당,동대문시장,청계천,2021-12-31
카파쓰 호텔,서울특별시 강남구 언주로89길 21 CAPACE Hotel,11,11680,127.0411339,37.50152713,서울,2,02-6205-3900,http://www.capace.co.kr/html/main.asp,서울 코엑스 컨벤션 센터,가로수길,롯데월드,2021-12-31
코암 관광 호텔,경기도 안양시 만안구 만안로 101,41,41171,126.9313976,37.39183064,경기,2,031-445-6601,https://blog.naver.com/koamhotel?proxyReferer=https%3A%2F%2Fmap.naver.com%2F,LS타워,관악산,자운암,2021-12-31
코업시티호텔성산,제주특별자치도 서귀포시 성산읍 성산등용로 28,50,50130,126.9319272,33.46598674,제주,4,064-780-9800,https://www.coopcityhotel-seongsan.co.kr/,제주관광공사 면세점,제주 국제 컨벤션 센터,박물관은 살아있다,2021-12-31
크라운 관광 호텔 이태원,서울특별시 용산구 녹사평대로 140 크라운호텔,11,11170,126.990626,37.53144792,서울,3,02-797-4111,http://www.hotelcrown.co.kr/,국립중앙박물관,남대문,명동성당,2021-12-31
크라운 관광 호텔 인사동,서울특별시 종로구 삼일대로30길 9 종로 크라운 호텔,11,11110,126.9882087,37.57400036,서울,2,02-3676-8000,https://hotelcrown.co.kr/,광화문광장,광화문,북촌한옥마을,2021-12-31
타소스 호텔,경기도 수원시 권선구 권선로 669번길 26,41,41113,127.0252637,37.26096812,경기,,,,권선구올림픽공원,수원시청,경기도문화의전당,2021-12-31
토브 호텔 앤 레지던스,서울특별시 영등포구 양평로28길 11,11,11560,126.8904958,37.54087607,서울,3,02-2014-1111,https://www.tovhotel.com/,안양역,자운암,관악산,2021-12-31
파라다이스시티아트파라디소,인천광역시 중구 영종해안남로321번길 186,28,28110,126.4557688,37.4372108,인천,5,1833-8855,https://www.p-city.com/front?,인천상륙작전기념관,송도 인천타워,송도컨벤시아,2021-12-31
폴로 호텔,인천광역시 남동구 앵고개로934번길 30,28,28200,126.7352185,37.400955,인천,,032-426-9250,,월미테마파크,차이나타운,인천 축구 전용경기장,2021-12-31
프린세스 호텔,서울특별시 강남구 압구정로46길 17,11,11680,127.0366394,37.52738988,서울,2,02-544-0366,http://www.princesshotel.co.kr/xe/page_nRij55,가로수길,서울 코엑스 컨벤션 센터,동대문시장,2021-12-31
필로스 호텔,경북 포항시 북구 죽파로 6,47,47113,129.3573637,36.02903492,경북,4,054-250-2000,http://www.philoshotel.kr/,해운대해수욕장,부산아쿠아리움,부산2호선해운대역,2021-12-31
한강 호텔,서울특별시 광진구 광장동 188-2,11,11215,127.109688,37.547869,서울,4,,,세종대학교롯데월드,,고려대학교,2021-12-31
해담채 가산,서울특별시 금천구 벚꽃로56길 190,11,11545,126.888727,37.47949956,서울,3,02-853-7111,https://www.hotelhaedamchae.com/,디큐브시티,노량진 수산 도매 시장,서울대학교,2021-12-31
해담채 스테이,서울특별시 강서구 곰달래로 70-1,11,11500,126.8405962,37.53001489,서울,1,070-4632-3500,http://www.haedamchaestay.com/,롯데몰 김포공항,디큐브시티김포 국제공항,,2021-12-31
해운대 비지니스호텔S,부산광역시 해운대구 구남로8번길 49,26,26350,129.1569244,35.16159978,부산,3,051-741-5009,http://www.businesshotelshaeundae.com/,해운대해수욕장,부산아쿠아리움,해운대달맞이길,2021-12-31
해운대골든튤립,부산광역시 해운대구 해운대해변로 322,26,26350,129.165879,35.16227702,부산,4,051-795-7000,http://www.goldentulip-haeundae.com/,광안리해수욕장,부산전시컨벤션센터,해운대두산위브더제니스,2021-12-31
호매실 호텔,경기도 수원시 권선구 금곡로 197번길 17-10,41,41113,126.9513177,37.27448605,경기,2,,,칠보산,화성행궁,수원시종합운동장,2021-12-31
호메르스 호텔,부산광역시 수영구 광안해변로 217 호메르스관광호텔,26,26500,129.1179799,35.15342586,부산,3,051-750-8000,http://www.homershotel.com/,명동성당,청계천,남대문시장,2021-12-31
호텔 노블레스 서울,서울특별시 노원구 노해로77길 22 노블레스관광호텔,11,11350,127.0593499,37.65519408,서울,1,02-558-1202,http://www.noblesse.com/home/main.php#,강남역지하도상가,테헤란로,충현교회,2021-12-31
호텔 더 디자이너스 동대문,서울특별시 중구 퇴계로 306,11,11140,127.0056598,37.56361125,서울,2,02-2271-3501,http://hotelthedesigners.com/dongdaemun/,동대문시장,명동성당,청계천,2021-12-31
호텔 더 디자이너스 리즈 강남 프리미어,서울특별시 강남구 봉은사로 113,11,11680,127.0258799,37.50526846,서울,3,02-567-4000,,가로수길,서울 코엑스 컨벤션 센터,롯데월드,2021-12-31
호텔 더 디자이너스 서울역,서울특별시 용산구 한강대로 305,11,11170,126.9715764,37.54555148,서울,2,02-703-6200,http://hotelthedesigners.kr/,남대문,명동성당,국립중앙박물관,2021-12-31
호텔 더 디자이너스 여의도,서울특별시 영등포구 국회대로68길 24 (여의도동),11,11560,126.920129,37.52824985,서울,3,02-786-5511,http://hotelthedesigners.com/,여의도순복음교회,홍대거리,국립중앙박물관,2021-12-31
호텔 더 디자이너스 인천,인천광역시 남동구 남동대로765번길 8,28,28200,126.7071054,37.45106201,인천,2,032-875-5000,,인천상륙작전기념관,송도 인천타워,송도컨벤시아,2021-12-31
호텔 더 디자이너스 종로,서울특별시 종로구 수표로 89-8,11,11110,126.9890245,37.56936529,서울,3,02-2267-7474,http://hotelthedesigners.com/jongno/,청계천,광화문,창덕궁,2021-12-31
호텔 더 디자이너스 청량리,서울특별시 동대문구 왕산로 226,11,11230,127.0476393,37.58171189,서울,1,02-957-3300,http://hotelthedesigners.com/cheongnyangni,동대문시장,대학로,창덕궁,2021-12-31
호텔 더메이,경기도 남양주시 별내2로 70 호텔 더 메이,41,41360,127.1251406,37.6466594,경기,3,031-551-8700,,천마산,조선왕릉,서울과학기술대학교,2021-12-31
호텔 데님,서울특별시 강남구 논현로 68,11,11680,127.0464142,37.47632077,서울,2,02-2058-1000,http://www.hoteldenim.com/,서울코엑스컨벤션센터,가로수길,롯데월드,2021-12-31
호텔 라르 김포,경기도 김포시 고촌읍 장차로5번길 5-9,41,41570,126.7692978,37.60272303,경기,3,031-982-1322,http://www.lartgimpo.com/html/main.asp,김포대교,호수공원,서울월드컵경기장,2021-12-31
호텔 라르 시티,인천광역시 남동구 호구포로 209 호텔라르시티,28,28200,126.7090421,37.40186442,인천,3,031-982-1322,http://www.lartgimpo.com/html/main.asp,소래포구종합어시장,문학야구장,송도컨벤시아,2021-12-31
호텔 로프트,서울특별시 영등포구 선유동2로 72,11,11560,126.8987369,37.53464944,서울,3,02-2671-9995,http://www.hotel-loft.co.kr/,여의도순복음교회,홍대거리,남대문,2021-12-31
호텔 루체브릿지,서울특별시 강서구 마곡동로4길 23 레지던스루체브릿지호텔,11,11500,126.8361997,37.55964448,서울,4,02-2600-8300,https://www.lucebridge.com/kor/index.do,롯데몰 김포공항,김포 국제공항,서울월드컵경기장,2021-12-31
호텔 리안,서울특별시 종로구 수표로18길 26,11,11110,126.9909802,37.56912704,서울,3,02-2272-8077,,청계천,창덕궁,광화문광장,2021-12-31
호텔 베뉴지,서울특별시 종로구 청계천로 117,11,11110,126.9907481,37.56860659,서울,2,02-2223-6500,http://www.hotelvenueg.com/,청계천,창덕궁,광화문광장,2021-12-31
호텔 벤허,서울특별시 영등포구 국회대로72길 7 벤허호텔,11,11560,126.9205137,37.53036423,서울,2,02-783-2233,http://www.hotelbenhur.co.kr/,여의도순복음교회,홍대거리,국립중앙박물관,2021-12-31
호텔 빅토리아 강북,서울특별시 강북구 도봉로 16,11,11305,127.0309398,37.61088514,서울,1,02-986-2000,http://victoriaseoul.com/en/,대학로,동대문시장,창덕궁,2021-12-31
호텔 소울하다,서울특별시 강남구 테헤란로10길 5,11,11680,127.0325287,37.49875443,서울,3,02-3288-1100,http://www.soulhada.com/,가로수길,서울 코엑스 컨벤션 센터,롯데월드,2021-12-31
호텔 스타 종로,서울특별시 종로구 돈화문로9길 29,11,11110,126.990077,37.57153425,서울,,02-743-2266,https://hotelstarjr.modoo.at/?link=6tcbu6mi,청계천,창덕궁,광화문광장,2021-12-31
호텔 아르누보 서초,서울특별시 서초구 서초대로 357,11,11650,127.0204833,37.49616883,서울,3,02-560-7101,http://www.artnouveauseocho.com/,남부버스터미널역,예술의전당,가로수길,2021-12-31
호텔 아트리움,서울특별시 종로구 창경궁로 106,11,11110,126.9981651,37.57188771,서울,1,02-767-9800,http://hotelatrium.co.kr/,동대문시장,창덕궁,청계천,2021-12-31
호텔 에버리치,인천광역시 강화군 강화읍 화성길50번길 43 남산유스호스텔,28,28710,126.475336,37.73546084,인천,3,032-934-1688,http://www.hoteleverrich.com/front/,월미테마파크,차이나타운,송도 인천타워,2021-12-31
호텔 엘르인,서울특별시 용산구 한강대로71길 24,11,11170,126.9721868,37.54034892,서울,3,02-792-8700,http://elleinnhotel.com/,국립중앙박물관,남대문,명동성당,2021-12-31
호텔 이루다,경기도 안양시 만안구 만안로 71,41,41171,126.932931,37.38951138,경기,3,031-443-2700,http://www.hoteliruda.com/,안양역,관악산,자운암,2021-12-31
호텔 지에스 종로,서울특별시 종로구 돈화문로 5-5,11,11110,126.9919645,37.56894876,서울,2,02-2274-2334,http://www.hotelgs.co.kr/html/main.php,경복궁,비원,남산타워,2021-12-31
호텔 컬리넌 개포,서울특별시 강남구 논현로 74-1,11,11680,127.0459212,37.47684383,서울,1,02-2058-1558,http://hotelcullinangaepo.co.kr/,서울코엑스컨벤션센터,가로수길,롯데월드,2021-12-31
호텔 컬리넌 건대,서울특별시 광진구 동일로 214,11,11215,127.0691679,37.55079951,서울,1,02-499-1583,,롯데월드,동대문시장,대학로,2021-12-31
호텔 컬리넌 서초,서울특별시 서초구 반포대로14길 35-9,11,11650,127.0125352,37.48607037,서울,3,02-584-2829,,남부버스터미널역,예술의전당,국립,2021-12-31
호텔 컬리넌 역삼,서울특별시 강남구 언주로87길 11,11,11680,127.0420986,37.5013698,서울,1,02-562-3520,http://www.cullinanhotel.com/,서울코엑스컨벤션센터,가로수길,롯데월드,2021-12-31
호텔 테이트,경기도 수원시 팔달구 권광로180번길 53-22,41,41115,127.0350253,37.26357476,경기,3,031-222-6100,https://hoteltate.modoo.at/,수원시청,수원월드컵경기장,수원시종합운동장,2021-12-31
